,Entity,Code,Contintent,Life_satisfaction,workinghour,worklife_ratio
9,Chile,CHL,South America,6.5,2007.75,308.92
11,Colombia,COL,South America,6.32,2008.63,317.93
13,Croatia,HRV,Europe,5.55,1886.81,339.8
14,Cyprus,CYP,Asia,5.87,1831.09,311.97
19,Estonia,EST,Europe,5.7,1871.0,328.03
23,Greece,GRC,Europe,5.25,2037.4,388.01
28,Indonesia,IDN,Asia,5.28,2031.3,384.88
30,Israel,ISR,Asia,7.21,1920.3,266.43
33,Latvia,LVA,Europe,5.7,1922.28,337.29
34,Lithuania,LTU,Europe,5.96,1893.39,317.45
37,Malta,MLT,Europe,6.54,1989.75,304.26
43,Pakistan,PAK,Asia,5.23,2060.32,394.11
46,Poland,POL,Europe,6.01,2042.09,339.67
47,Portugal,PRT,Europe,5.44,1873.55,344.3
48,Romania,ROU,Europe,5.76,1810.12,314.17
49,Russia,RUS,Europe,5.7,1979.13,347.38
54,South Korea,KOR,Asia,5.89,2089.08,354.6
56,Sri Lanka,LKA,Asia,4.35,1940.66,446.16
59,Taiwan,TWN,Asia,6.38,2087.6,327.33
61,Turkey,TUR,Asia,5.29,1844.5,348.98
