,Entity,Code,Contintent,Life_satisfaction,workinghour,worklife_ratio
3,Bangladesh,BGD,Asia,4.64,2434.13,524.41
7,Cambodia,KHM,Asia,4.35,2435.06,560.01
10,China,CHN,Asia,5.19,2174.93,418.91
12,Costa Rica,CRI,North America,7.13,2203.55,309.1
17,Dominican Republic,DOM,North America,5.31,2135.25,401.94
24,Hong Kong,HKG,Asia,5.49,2208.81,402.16
27,India,IND,Asia,4.15,2117.3,510.09
36,Malaysia,MYS,Asia,5.79,2202.58,380.45
38,Mexico,MEX,North America,6.74,2136.88,317.19
39,Myanmar,MMR,Asia,4.41,2444.37,554.8
44,Peru,PER,South America,5.77,2135.58,370.27
45,Philippines,PHL,Asia,5.5,2143.03,389.63
50,Singapore,SGP,Asia,6.48,2391.93,368.96
53,South Africa,ZAF,Africa,4.74,2221.57,468.42
60,Thailand,THA,Asia,6.22,2253.41,362.25
65,Vietnam,VNM,Asia,5.21,2231.6,427.93
