,Entity,id,life_index
0,Afghanistan,AFG,3.302508742
1,Albania,ALB,4.828944445
2,Algeria,DZA,5.389495611
3,Angola,AGO,4.030731599
4,Argentina,ARG,6.345475137
5,Armenia,ARM,4.570256114
6,Australia,AUS,7.259433985
7,Austria,AUT,7.232387602
8,Azerbaijan,AZE,5.198476792
9,Bahrain,BHR,6.197773388
10,Bangladesh,BGD,4.641623676
11,Belarus,BLR,5.617856979
12,Belgium,BEL,6.917490661
13,Belize,BLZ,5.955646515
14,Benin,BEN,4.162711442
15,Bhutan,BTN,5.196599484
16,Bolivia,BOL,5.811966538
17,Bosnia and Herzegovina,BIH,5.304579079
18,Botswana,BWA,3.836708486
19,Brazil,BRA,6.584749937
20,Bulgaria,BGR,4.707609117
21,Burkina Faso,BFA,4.212736279
22,Burundi,BDI,3.339909077
23,Cambodia,KHM,4.348233491
24,Cameroon,CMR,4.733979642
25,Canada,CAN,7.333782017
26,Central African Republic,CAF,3.08446157
27,Chad,TCD,4.081113458
28,Chile,CHL,6.499239624
29,China,CHN,5.191884518
30,Colombia,COL,6.317832351
31,Comoros,COM,4.179025412
32,Congo,COG,4.540932119
33,Costa Rica,CRI,7.128854215
34,Cote d'Ivoire,CIV,4.570777246
35,Croatia,HRV,5.552660525
36,Cyprus,CYP,5.869461298
37,Czechia,CZE,6.668987547
38,Democratic Republic of Congo,COD,4.381119132
39,Denmark,DNK,7.577971756
40,Dominican Republic,DOM,5.312421858
41,Ecuador,ECU,5.972743333
42,Egypt,EGY,4.278706968
43,El Salvador,SLV,6.16370219
44,Estonia,EST,5.703785002
45,Eswatini,SWZ,4.303839922
46,Ethiopia,ETH,4.380347371
47,Finland,FIN,7.597986519
48,France,FRA,6.575869858
49,Gabon,GAB,4.457872719
50,Gambia,GMB,4.734555085
51,Georgia,GEO,4.432863593
52,Germany,DEU,6.973845422
53,Ghana,GHA,4.729350925
54,Greece,GRC,5.250958621
55,Guatemala,GTM,6.30176723
56,Guinea,GIN,4.120876551
57,Haiti,HTI,3.897867407
58,Honduras,HND,5.340419352
59,Hong Kong,HKG,5.492405605
60,Hungary,HUN,5.446592867
61,Iceland,ISL,7.518146356
62,India,IND,4.1508151
63,Indonesia,IDN,5.277715325
64,Iran,IRN,4.729308069
65,Iraq,IRQ,4.597248895
66,Ireland,IRL,6.986412347
67,Israel,ISR,7.207550645
68,Italy,ITA,6.104786813
69,Jamaica,JAM,5.804605842
70,Japan,JPN,5.912103116
71,Jordan,JOR,5.026551604
72,Kazakhstan,KAZ,5.901356578
73,Kenya,KEN,4.468906313
74,Kosovo,OWID_KOS,5.821095586
75,Kuwait,KWT,6.167787961
76,Kyrgyzstan,KGZ,5.27955699
77,Laos,LAO,4.888870955
78,Latvia,LVA,5.699210048
79,Lebanon,LBN,4.947121561
80,Lesotho,LSO,3.70509537
81,Liberia,LBR,4.051415205
82,Libya,LBY,5.545739015
83,Lithuania,LTU,5.964412272
84,Luxembourg,LUX,7.045371652
85,Madagascar,MDG,3.848217279
86,Malawi,MWI,3.855273187
87,Malaysia,MYS,5.789383014
88,Maldives,MDV,5.197574615
89,Mali,MLI,4.338463306
