,Entity,Code,Contintent,Life_satisfaction,workinghour,worklife_ratio
0,Argentina,ARG,SouthAmerica,6.35,1710.83,269.61
1,Australia,AUS,Oceania,7.26,1751,241.2
2,Austria,AUT,Europe,7.23,1633.84,225.91
3,Bangladesh,BGD,Asia,4.64,2434.13,524.41
4,Belgium,BEL,Europe,6.92,1580.76,228.52
5,Brazil,BRA,SouthAmerica,6.58,1741.7,264.51
6,Bulgaria,BGR,Europe,4.71,1644.14,349.25
7,Cambodia,KHM,Asia,4.35,2435.06,560.01
8,Canada,CAN,NorthAmerica,7.33,1710.22,233.2
9,Chile,CHL,SouthAmerica,6.5,2007.75,308.92
10,China,CHN,Asia,5.19,2174.93,418.91
11,Colombia,COL,SouthAmerica,6.32,2008.63,317.93
12,Costa Rica,CRI,NorthAmerica,7.13,2203.55,309.1
13,Croatia,HRV,Europe,5.55,1886.81,339.8
14,Cyprus,CYP,Asia,5.87,1831.09,311.97
15,Czechia,CZE,Europe,6.67,1779.38,266.81
16,Denmark,DNK,Europe,7.58,1418.33,187.17
17,Dominican Republic,DOM,NorthAmerica,5.31,2135.25,401.94
18,Ecuador,ECU,SouthAmerica,5.97,1644.14,275.27
19,Estonia,EST,Europe,5.7,1871,328.03
20,Finland,FIN,Europe,7.6,1615.43,212.61
21,France,FRA,Europe,6.58,1527.29,232.26
22,Germany,DEU,Europe,6.97,1405.55,201.55
23,Greece,GRC,Europe,5.25,2037.4,388.01
24,Hong Kong,HKG,Asia,5.49,2208.81,402.16
25,Hungary,HUN,Europe,5.45,1749.24,321.16
26,Iceland,ISL,Europe,7.52,1492.33,198.5
27,India,IND,Asia,4.15,2117.3,510.09
28,Indonesia,IDN,Asia,5.28,2031.3,384.88
29,Ireland,IRL,Europe,6.99,1750.52,250.56
30,Israel,ISR,Asia,7.21,1920.3,266.43
31,Italy,ITA,Europe,6.1,1734.59,284.14
32,Japan,JPN,Asia,5.91,1764.71,298.49
33,Latvia,LVA,Europe,5.7,1922.28,337.29
34,Lithuania,LTU,Europe,5.96,1893.39,317.45
35,Luxembourg,LUX,Europe,7.05,1510.03,214.33
36,Malaysia,MYS,Asia,5.79,2202.58,380.45
37,Malta,MLT,Europe,6.54,1989.75,304.26
38,Mexico,MEX,NorthAmerica,6.74,2136.88,317.19
39,Myanmar,MMR,Asia,4.41,2444.37,554.8
40,Netherlands,NLD,Europe,7.43,1423.81,191.72
41,New Zealand,NZL,Oceania,7.3,1753.32,240.25
42,Norway,NOR,Europe,7.54,1390.71,184.42
43,Pakistan,PAK,Asia,5.23,2060.32,394.11
44,Peru,PER,SouthAmerica,5.77,2135.58,370.27
45,Philippines,PHL,Asia,5.5,2143.03,389.63
46,Poland,POL,Europe,6.01,2042.09,339.67
47,Portugal,PRT,Europe,5.44,1873.55,344.3
48,Romania,ROU,Europe,5.76,1810.12,314.17
49,Russia,RUS,Europe,5.7,1979.13,347.38
50,Singapore,SGP,Asia,6.48,2391.93,368.96
51,Slovakia,SVK,Europe,6.12,1765.79,288.38
52,Slovenia,SVN,Europe,6.06,1661.65,274.23
53,South Africa,ZAF,Africa,4.74,2221.57,468.42
54,South Korea,KOR,Asia,5.89,2089.08,354.6
55,Spain,ESP,Europe,6.35,1697.34,267.31
56,Sri Lanka,LKA,Asia,4.35,1940.66,446.16
57,Sweden,SWE,Europe,7.37,1627.84,220.91
58,Switzerland,CHE,Europe,7.57,1590.72,210.19
59,Taiwan,TWN,Asia,6.38,2087.6,327.33
60,Thailand,THA,Asia,6.22,2253.41,362.25
61,Turkey,TUR,Asia,5.29,1844.5,348.98
62,United Kingdom,GBR,Europe,6.92,1660.32,239.8
63,United States,USA,NorthAmerica,6.99,1754.76,251.07
64,Uruguay,URY,SouthAmerica,6.45,1566.16,242.99
65,Vietnam,VNM,Asia,5.21,2231.6,427.93
