,Entity,Code,Year,Life_satisfaction,Entity_Code,working_hours,Contintent
0,Argentina,ARG,2010,6.468387127,ARG,1760.2247824375163,South America
1,Argentina,ARG,2011,6.582260132,ARG,1760.2303688691725,South America
2,Argentina,ARG,2012,6.671114445,ARG,1736.103360116803,South America
3,Argentina,ARG,2013,6.69713068,ARG,1725.8735529094804,South America
4,Argentina,ARG,2014,6.427221298,ARG,1705.4283684101129,South America
5,Argentina,ARG,2015,6.039330006,ARG,1703.4685392099657,South America
6,Argentina,ARG,2016,5.792796612,ARG,1646.512532317421,South America
7,Argentina,ARG,2017,6.085560799,ARG,1648.8128319055493,South America
8,Australia,AUS,2010,7.195585728,AUS,1763.3227871291754,Oceania
9,Australia,AUS,2011,7.364169121,AUS,1765.2895469442872,Oceania
10,Australia,AUS,2012,7.288550377,AUS,1757.2184503263384,Oceania
11,Australia,AUS,2013,7.309060574,AUS,1756.289630422355,Oceania
12,Australia,AUS,2014,7.250080109,AUS,1746.4962390251244,Oceania
13,Australia,AUS,2015,7.25703764,AUS,1746.483472454062,Oceania
14,Australia,AUS,2016,7.17699337,AUS,1736.0810643034165,Oceania
15,Australia,AUS,2017,7.233994961,AUS,1736.800304129141,Oceania
16,Austria,AUT,2010,7.400688648,AUT,1665.843868420603,Europe
17,Austria,AUT,2011,7.498802662,AUT,1671.6877905789354,Europe
18,Austria,AUT,2012,6.949999809,AUT,1647.8528759904498,Europe
19,Austria,AUT,2013,7.07644701,AUT,1632.067624538778,Europe
20,Austria,AUT,2014,7.048071861,AUT,1621.5657644545647,Europe
21,Austria,AUT,2015,7.293727875,AUT,1605.2805480756217,Europe
22,Austria,AUT,2016,7.396001816,AUT,1618.2107787244922,Europe
23,Austria,AUT,2017,7.195361137,AUT,1608.1809674225103,Europe
24,Bangladesh,BGD,2010,4.724443913,BGD,2577.616019890154,Asia
25,Bangladesh,BGD,2011,4.660161018,BGD,2491.949911792863,Asia
26,Bangladesh,BGD,2012,4.635564804,BGD,2405.7833943753208,Asia
27,Bangladesh,BGD,2013,4.633473873,BGD,2319.5666673777573,Asia
28,Bangladesh,BGD,2014,4.5561409,BGD,2366.9432670482884,Asia
29,Bangladesh,BGD,2015,4.309771061,BGD,2418.7508165741133,Asia
30,Bangladesh,BGD,2016,4.499217033,BGD,2473.508957771578,Asia
31,Bangladesh,BGD,2017,5.114216805,BGD,2418.882693223619,Asia
32,Belgium,BEL,2010,6.935122013,BEL,1573.830710676846,Europe
33,Belgium,BEL,2011,7.10366106,BEL,1590.2343509773775,Europe
34,Belgium,BEL,2012,6.855329037,BEL,1587.2950747966058,Europe
